Parameters:
Random seed: 0
Domain used is: 0
# Pits: 6, Stones per pit: 4
<<<<<<< HEAD
Player 0 (max) --- UCT,NA, C 0.500, Num iterations 10000, with minimax backups, using heuristic 2
=======
Player 0 (max) --- UCT, C 0.500, Num iterations 10000, with minimax backups, using heuristic 2
>>>>>>> c1bae7c5df5427657abd34680e1c98761c958027
Player 1 (min) --- Minmax, Depth 3, using heuristic 2
UCT
UCT:Iteration: 0
1 -1 
1 0 
1 -1 
1 -1 
1 -1 
0 -1 
1 -1 
1 -1 
1 1 
1 -1 
1 -1 
1 -1 
1 -1 
1 -1 
1 -1 
1 -1 
1 0 
1 1 
1 -1 
-1 -1 
-1 -1 
0 -1 
1 0 
1 -1 
-1 -1 
1 -1 
1 -1 
1 -1 
1 1 
1 1 
1 0 
1 -1 
1 -1 
1 -1 
1 -1 
0 -1 
1 -1 
1 -1 
1 -1 
1 0 
1 -1 
1 -1 
1 -1 
1 -1 
1 1 
1 0 
0 0 
1 -1 
1 -1 
1 1 
1 -1 
-1 -1 
1 0 
1 -1 
0 -1 
1 -1 
1 0 
1 0 
0 -1 
1 -1 
1 -1 
1 -1 
0 -1 
1 -1 
1 -1 
1 0 
1 -1 
1 0 
1 -1 
1 1 
1 1 
1 0 
1 -1 
-1 -1 
0 -1 
0 -1 
1 -1 
-1 -1 
1 -1 
1 -1 
1 1 
1 -1 
1 -1 
1 0 
-1 -1 
1 -1 
-1 -1 
1 0 
1 -1 
1 -1 
-1 -1 
1 -1 
1 -1 
1 -1 
1 -1 
1 -1 
1 -1 
1 -1 
-1 -1 
1 -1 
domain, max_alg, min_alg ,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games

<<<<<<< HEAD
0,UCT,NA,MINMAX,3,100,20,0,1.000000,0.000000,80
=======
0,UCT,MINMAX,100,20,0,1.000000,0.000000,80
>>>>>>> c1bae7c5df5427657abd34680e1c98761c958027
** Total UCT nodes 16954450**
