Parameters:
Random seed: 0
Domain used is: 0
# Pits: 6, Stones per pit: 4
<<<<<<< HEAD
Player 0 (max) --- UCT,NA, C 2.500, Num iterations 1000, with minimax backups, using heuristic 2
=======
Player 0 (max) --- UCT, C 2.500, Num iterations 1000, with minimax backups, using heuristic 2
>>>>>>> c1bae7c5df5427657abd34680e1c98761c958027
Player 1 (min) --- Minmax, Depth 3, using heuristic 2
UCT
UCT:Iteration: 0
1 -1 
0 -1 
1 -1 
-1 -1 
1 -1 
1 0 
1 1 
-1 -1 
1 1 
1 -1 
1 -1 
1 -1 
1 -1 
1 -1 
1 -1 
-1 -1 
1 -1 
1 -1 
1 1 
-1 -1 
1 -1 
-1 -1 
-1 -1 
1 0 
1 -1 
1 -1 
0 -1 
1 -1 
1 -1 
1 -1 
1 -1 
-1 -1 
1 -1 
-1 -1 
1 -1 
0 -1 
-1 1 
1 -1 
0 -1 
1 -1 
1 -1 
0 1 
1 -1 
1 -1 
1 1 
-1 1 
1 -1 
1 0 
1 -1 
1 -1 
-1 -1 
1 -1 
1 -1 
1 -1 
0 -1 
1 -1 
1 -1 
-1 -1 
1 -1 
1 -1 
1 1 
1 1 
-1 -1 
1 -1 
1 -1 
1 1 
1 -1 
1 -1 
1 -1 
1 1 
0 -1 
1 -1 
-1 -1 
1 -1 
-1 -1 
1 -1 
1 -1 
1 -1 
1 -1 
1 -1 
1 -1 
1 -1 
1 1 
1 -1 
1 -1 
0 -1 
1 -1 
-1 -1 
0 -1 
1 1 
1 1 
1 1 
1 -1 
-1 -1 
1 -1 
1 -1 
1 -1 
-1 -1 
1 -1 
1 -1 
domain, max_alg, min_alg ,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games

<<<<<<< HEAD
0,UCT,NA,MINMAX,3,100,28,0,0.958333,0.041667,69
=======
0,UCT,MINMAX,100,28,0,0.958333,0.041667,69
>>>>>>> c1bae7c5df5427657abd34680e1c98761c958027
** Total UCT nodes 2484059**
